type,priority,rank,category,class,sourcefile,startLine,endLine
DM_DEFAULT_ENCODING,1,19,I18N,prompt1,prompt1.java,29,29
DM_DEFAULT_ENCODING,1,19,I18N,prompt1,prompt1.java,8,8
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt1,prompt1.java,6,40
DM_DEFAULT_ENCODING,1,19,I18N,prompt10,prompt10.java,9,9
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt10,prompt10.java,6,28
DM_CONVERT_CASE,3,20,I18N,prompt2,prompt2.java,26,26
DM_DEFAULT_ENCODING,1,19,I18N,prompt2,prompt2.java,11,11
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt2,prompt2.java,8,68
NP_IMMEDIATE_DEREFERENCE_OF_READLINE,2,15,STYLE,prompt2,prompt2.java,14,14
DM_DEFAULT_ENCODING,1,19,I18N,prompt3,prompt3.java,11,11
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt3,prompt3.java,8,45
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt4,prompt4.java,19,19
DM_DEFAULT_ENCODING,1,19,I18N,prompt4,prompt4.java,11,11
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt4,prompt4.java,4,45
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt5,prompt5.java,40,40
DM_DEFAULT_ENCODING,1,19,I18N,prompt5,prompt5.java,15,15
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt5,prompt5.java,7,55
CT_CONSTRUCTOR_THROW,2,16,BAD_PRACTICE,prompt6,prompt6.java,1,1
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt6,prompt6.java,1,24
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt7,prompt7.java,10,18
DM_DEFAULT_ENCODING,1,19,I18N,prompt8,prompt8.java,13,13
DM_DEFAULT_ENCODING,1,19,I18N,prompt8,prompt8.java,8,8
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt8,prompt8.java,6,23
DM_CONVERT_CASE,3,20,I18N,prompt9,prompt9.java,18,18
DM_DEFAULT_ENCODING,1,19,I18N,prompt9,prompt9.java,28,28

