type,priority,rank,category,class,sourcefile,startLine,endLine
DM_CONVERT_CASE,3,20,Dm,prompt1,prompt1.java,194,194
DM_DEFAULT_ENCODING,1,19,Dm,prompt1,prompt1.java,20,20
DM_DEFAULT_ENCODING,1,19,Dm,prompt1,prompt1.java,190,190
DM_DEFAULT_ENCODING,1,19,Dm,prompt1,prompt1.java,285,285
NM_CLASS_NAMING_CONVENTION,2,16,Nm,prompt1,prompt1.java,14,305
DM_CONVERT_CASE,3,20,Dm,prompt10,prompt10.java,136,136
NM_CLASS_NAMING_CONVENTION,2,16,Nm,prompt10,prompt10.java,4,151
DM_DEFAULT_ENCODING,1,19,Dm,prompt2,prompt2.java,32,32
NM_CLASS_NAMING_CONVENTION,2,16,Nm,prompt2,prompt2.java,14,352
REC_CATCH_EXCEPTION,3,20,REC,prompt2,prompt2.java,311,311
DMI_RANDOM_USED_ONLY_ONCE,1,14,DMI,prompt3,prompt3.java,127,127
DM_DEFAULT_ENCODING,1,19,Dm,prompt3,prompt3.java,25,25
DM_DEFAULT_ENCODING,1,19,Dm,prompt3,prompt3.java,112,112
DM_DEFAULT_ENCODING,1,19,Dm,prompt3,prompt3.java,223,223
NM_CLASS_NAMING_CONVENTION,2,16,Nm,prompt3,prompt3.java,13,275
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,3,19,THROWS,prompt3,prompt3.java,115,115
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,prompt4,prompt4.java,142,142
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,prompt4,prompt4.java,249,249
DM_CONVERT_CASE,3,20,Dm,prompt4,prompt4.java,84,84
DM_DEFAULT_ENCODING,1,19,Dm,prompt4,prompt4.java,22,22
NM_CLASS_NAMING_CONVENTION,2,16,Nm,prompt4,prompt4.java,9,326
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,SQL,prompt4,prompt4.java,143,143
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,prompt5,prompt5.java,400,400
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,prompt5,prompt5.java,235,235
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,prompt5,prompt5.java,307,307
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,prompt5,prompt5.java,184,184
DM_CONVERT_CASE,3,20,Dm,prompt5,prompt5.java,150,150
DM_DEFAULT_ENCODING,1,19,Dm,prompt5,prompt5.java,24,24
NM_CLASS_NAMING_CONVENTION,2,16,Nm,prompt5,prompt5.java,10,413
DM_CONVERT_CASE,3,20,Dm,prompt6,prompt6.java,89,89
NM_CLASS_NAMING_CONVENTION,2,16,Nm,prompt6,prompt6.java,14,505
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt6,prompt6.java,97,97
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt6,prompt6.java,188,188
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt6,prompt6.java,267,267
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt6,prompt6.java,235,235
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt6,prompt6.java,322,322
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt6,prompt6.java,292,314
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt6,prompt6.java,88,90
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt6,prompt6.java,166,180
DM_CONVERT_CASE,3,20,Dm,prompt7,prompt7.java,326,326
DM_CONVERT_CASE,3,20,Dm,prompt7,prompt7.java,127,127
NM_CLASS_NAMING_CONVENTION,2,16,Nm,prompt7,prompt7.java,19,602
STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE,2,8,STCAL,prompt7,prompt7.java,556,556
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt7,prompt7.java,135,135
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt7,prompt7.java,244,244
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt7,prompt7.java,291,291
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt7,prompt7.java,167,167
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt7,prompt7.java,207,207
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt7,prompt7.java,325,333
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt7,prompt7.java,341,341
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt7,prompt7.java,349,349
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt7,prompt7.java,556,558
UPM_UNCALLED_PRIVATE_METHOD,3,20,UPM,prompt7,prompt7.java,126,128
DM_CONVERT_CASE,3,20,Dm,prompt8,prompt8.java,123,123
DM_DEFAULT_ENCODING,1,19,Dm,prompt8,prompt8.java,24,24
DM_DEFAULT_ENCODING,1,19,Dm,prompt8,prompt8.java,151,151
NM_CLASS_NAMING_CONVENTION,2,16,Nm,prompt8,prompt8.java,11,158
DM_DEFAULT_ENCODING,1,19,Dm,prompt9,prompt9.java,37,37
