type,priority,rank,category,class,sourcefile,startLine,endLine
DM_DEFAULT_ENCODING,1,19,I18N,prompt1,prompt1.java,, 
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt1,prompt1.java,22,130
DM_DEFAULT_ENCODING,1,19,I18N,prompt10,prompt10.java,, 
FE_FLOATING_POINT_EQUALITY,3,20,STYLE,prompt10,prompt10.java,, 
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt10,prompt10.java,12,65
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,3,19,BAD_PRACTICE,prompt10$Parser,prompt10.java,99,99
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,3,19,BAD_PRACTICE,prompt10$Parser,prompt10.java,133,133
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,3,19,BAD_PRACTICE,prompt10$Parser,prompt10.java,139,139
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,3,19,BAD_PRACTICE,prompt10$Parser,prompt10.java,142,142
DM_CONVERT_CASE,3,20,I18N,prompt2,prompt2.java,, 
DM_DEFAULT_ENCODING,1,19,I18N,prompt2,prompt2.java,, 
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt2,prompt2.java,24,184
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2,13,STYLE,prompt2,prompt2.java,166,166
DM_DEFAULT_ENCODING,1,19,I18N,prompt3,prompt3.java,, 
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt3,prompt3.java,16,76
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt4,prompt4.java,61,61
DM_DEFAULT_ENCODING,1,19,I18N,prompt4,prompt4.java,32,32
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt4,prompt4.java,16,109
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt5,prompt5.java,68,68
DM_DEFAULT_ENCODING,1,19,I18N,prompt5,prompt5.java,31,31
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt5,prompt5.java,15,90
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt6,prompt6.java,22,129
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt7,prompt7.java,30,153
DM_DEFAULT_ENCODING,1,19,I18N,prompt8,prompt8.java,, 
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt8,prompt8.java,20,134
DM_DEFAULT_ENCODING,1,19,I18N,prompt9,prompt9.java,, 
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt9,prompt9.java,15,94
