type,priority,rank,abbrev,category,class,method,sourcefile,line
DM_CONVERT_CASE,3,20,Dm,I18N,prompt1,main,prompt1.java,44
DM_DEFAULT_ENCODING,1,19,Dm,I18N,prompt1,main,prompt1.java,67
DM_DEFAULT_ENCODING,1,19,Dm,I18N,prompt1,main,prompt1.java,9
NM_CLASS_NAMING_CONVENTION,2,16,Nm,BAD_PRACTICE,prompt1,,prompt1.java,6
REC_CATCH_EXCEPTION,3,20,REC,STYLE,prompt1,main,prompt1.java,95
DM_CONVERT_CASE,3,20,Dm,I18N,prompt10,isValidExpression,prompt10.java,99
DM_DEFAULT_ENCODING,1,19,Dm,I18N,prompt10,main,prompt10.java,26
NM_CLASS_NAMING_CONVENTION,2,16,Nm,BAD_PRACTICE,prompt10,,prompt10.java,23
DM_DEFAULT_ENCODING,1,19,Dm,I18N,prompt3,check_login,prompt3.java,31
DM_DEFAULT_ENCODING,1,19,Dm,I18N,prompt3,hashPassword,prompt3.java,75
NM_CLASS_NAMING_CONVENTION,2,16,Nm,BAD_PRACTICE,prompt3,,prompt3.java,22
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,3,19,THROWS,BAD_PRACTICE,prompt3,hashPassword,prompt3.java,78
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,SECURITY,prompt4,addSampleProducts,prompt4.java,133
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,SECURITY,prompt4,createProductsTable,prompt4.java,110
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,SECURITY,prompt4,searchProducts,prompt4.java,52
DM_DEFAULT_ENCODING,1,19,Dm,I18N,prompt4,main,prompt4.java,16
NM_CLASS_NAMING_CONVENTION,2,16,Nm,BAD_PRACTICE,prompt4,,prompt4.java,8
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,SECURITY,prompt5,addSampleProducts,prompt5.java,173
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,SECURITY,prompt5,createProductsTable,prompt5.java,150
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,SECURITY,prompt5,showProductInfo,prompt5.java,117
DMI_CONSTANT_DB_PASSWORD,2,7,Dm,SECURITY,prompt5,updateProductName,prompt5.java,78
DM_DEFAULT_ENCODING,1,19,Dm,I18N,prompt5,main,prompt5.java,16
NM_CLASS_NAMING_CONVENTION,2,16,Nm,BAD_PRACTICE,prompt5,,prompt5.java,8
NM_CLASS_NAMING_CONVENTION,2,16,Nm,BAD_PRACTICE,prompt6,,prompt6.java,11
NM_CLASS_NAMING_CONVENTION,2,16,Nm,BAD_PRACTICE,prompt7,,prompt7.java,31
