type,priority,rank,category,class,sourcefile,start_line,end_line
DM_CONVERT_CASE,3,20,I18N,prompt1,prompt1.java,39,39
DM_DEFAULT_ENCODING,1,19,I18N,prompt1,prompt1.java,82,82
DM_DEFAULT_ENCODING,1,19,I18N,prompt1,prompt1.java,21,21
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt1,prompt1.java,18,108
DM_DEFAULT_ENCODING,1,19,I18N,prompt10,prompt10.java,28,28
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt10,prompt10.java,21,71
DM_CONVERT_CASE,3,20,I18N,prompt2,prompt2.java,43,43
DM_DEFAULT_ENCODING,1,19,I18N,prompt2,prompt2.java,89,89
DM_DEFAULT_ENCODING,1,19,I18N,prompt2,prompt2.java,20,20
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt2,prompt2.java,17,111
DM_DEFAULT_ENCODING,1,19,I18N,prompt3,prompt3.java,27,27
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt3,prompt3.java,20,80
OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,20,EXPERIMENTAL,prompt3,prompt3.java,48,48
ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH,3,19,BAD_PRACTICE,prompt3,prompt3.java,45,45
ODR_OPEN_DATABASE_RESOURCE_EXCEPTION_PATH,3,19,BAD_PRACTICE,prompt3,prompt3.java,48,48
SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,1,10,SECURITY,prompt3,prompt3.java,56,56
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt4,prompt4.java,44,44
DM_DEFAULT_ENCODING,1,19,I18N,prompt4,prompt4.java,26,26
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt4,prompt4.java,19,84
OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2,20,EXPERIMENTAL,prompt4,prompt4.java,45,45
