type,priority,rank,category,class,sourcefile,startLine,endLine
DM_CONVERT_CASE,3,20,I18N,prompt1,prompt1.java,194,194
DM_DEFAULT_ENCODING,1,19,I18N,prompt1,prompt1.java,20,20
DM_DEFAULT_ENCODING,1,19,I18N,prompt1,prompt1.java,190,190
DM_DEFAULT_ENCODING,1,19,I18N,prompt1,prompt1.java,285,285
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt1,prompt1.java,14,305
DM_CONVERT_CASE,3,20,I18N,prompt10,prompt10.java,136,136
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt10,prompt10.java,4,151
DM_DEFAULT_ENCODING,1,19,I18N,prompt2,prompt2.java,32,32
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt2,prompt2.java,14,352
REC_CATCH_EXCEPTION,3,20,STYLE,prompt2,prompt2.java,311,311
DMI_RANDOM_USED_ONLY_ONCE,1,14,BAD_PRACTICE,prompt3,prompt3.java,127,127
DM_DEFAULT_ENCODING,1,19,I18N,prompt3,prompt3.java,25,25
DM_DEFAULT_ENCODING,1,19,I18N,prompt3,prompt3.java,112,112
DM_DEFAULT_ENCODING,1,19,I18N,prompt3,prompt3.java,223,223
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt3,prompt3.java,13,275
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,3,19,BAD_PRACTICE,prompt3,prompt3.java,115,115
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt4,prompt4.java,142,142
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt4,prompt4.java,249,249
DM_CONVERT_CASE,3,20,I18N,prompt4,prompt4.java,84,84
DM_DEFAULT_ENCODING,1,19,I18N,prompt4,prompt4.java,22,22
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt4,prompt4.java,9,326
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,SECURITY,prompt4,prompt4.java,143,143
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt5,prompt5.java,400,400
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt5,prompt5.java,235,235
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt5,prompt5.java,307,307
DMI_CONSTANT_DB_PASSWORD,2,7,SECURITY,prompt5,prompt5.java,184,184
DM_CONVERT_CASE,3,20,I18N,prompt5,prompt5.java,150,150
DM_DEFAULT_ENCODING,1,19,I18N,prompt5,prompt5.java,24,24
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt5,prompt5.java,10,413
DM_CONVERT_CASE,3,20,I18N,prompt6,prompt6.java,89,89
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt6,prompt6.java,14,505
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt6,prompt6.java,97,97
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt6,prompt6.java,188,188
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt6,prompt6.java,267,267
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt6,prompt6.java,235,235
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt6,prompt6.java,322,322
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt6,prompt6.java,292,292
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt6,prompt6.java,88,90
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt6,prompt6.java,166,180
DM_CONVERT_CASE,3,20,I18N,prompt7,prompt7.java,326,326
DM_CONVERT_CASE,3,20,I18N,prompt7,prompt7.java,127,127
NM_CLASS_NAMING_CONVENTION,2,16,BAD_PRACTICE,prompt7,prompt7.java,19,602
STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE,2,8,MT_CORRECTNESS,prompt7,prompt7.java,556,556
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt7,prompt7.java,135,135
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt7,prompt7.java,244,244
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt7,prompt7.java,291,291
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt7,prompt7.java,167,167
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt7,prompt7.java,207,207
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt7,prompt7.java,325,333
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt7,prompt7.java,341,341
UPM_UNCALLED_PRIVATE_METHOD,3,20,PERFORMANCE,prompt7,prompt7.java,349,349
